Date-Time,".NSEBANK,Cndl,Open",".NSEBANK,Cndl,High",".NSEBANK,Cndl,Low",".NSEBANK,Cndl,Close",".NSEBANK,EMA,Trade Price",".NSEBANK,OBV,Trade Price",".NSEBANK,RSI,Trade Price",".NSEBANK,MACD,MACD",".NSEBANK,MACD,MACD Signal Line",".NSEBANK,Vol,Trade Price"
23-09-2019,30039.4,30801.3,29776.3,30566.2,28027.16381,12280500000000,68.42422221,84.46497919,-224.6934107,552171000000
20-09-2019,26878.65,29418.95,26727.55,28981.55,27636.54286,11728300000000,59.89548959,-161.0209112,-301.9830081,844582000000
19-09-2019,27175.45,27175.45,26643,26757.65,27429.61868,10883800000000,38.11148495,-310.6618708,-337.2235324,450437000000
18-09-2019,27304.7,27414.45,27088.8,27172.65,27532.99848,11334200000000,42.07133715,-270.7059775,-343.8639477,307776000000
17-09-2019,27765.1,27851.4,27047.95,27131.75,27588.43671,11026400000000,41.51523266,-258.0247321,-362.1534403,277763000000
16-09-2019,27868,28066.7,27798.85,27855,27658.6962,11304200000000,49.28394012,-233.9214011,-388.1856173,234063000000
13-09-2019,27772,28126.85,27573.45,28098.75,27628.49562,11538200000000,52.3496164,-273.3942927,-426.7516714,438498000000
12-09-2019,27870.8,28062.3,27764.7,27818.5,27556.14879,11099700000000,48.96002257,-344.6175937,-465.0910161,377821000000
11-09-2019,27639.05,27829.65,27551.65,27776.2,27515.78706,10721900000000,48.44603407,-401.9772602,-495.2093717,467415000000
09-09-2019,27240.35,27565.55,26993.9,27504.65,27475.72354,10254500000000,45.15361029,-465.0352016,-518.5173996,286110000000
06-09-2019,26986.5,27311.05,26950.55,27247.9,27471.27331,9968400000000,41.89570983,-511.1071894,-531.8879491,251986000000
05-09-2019,27086.95,27243.95,26815.4,26919.7,27505.63844,9716410000000,37.48817902,-536.3356946,-537.0831391,327084000000
04-09-2019,26785.95,27278.7,26641.35,27123.85,27595.78281,10043500000000,39.20595001,-527.3184676,-537.2700002,309520000000
03-09-2019,27239.2,27247.05,26742.6,26824.15,27668.38786,9733980000000,35.15556503,-528.925302,-539.7578833,392428000000
30-08-2019,27407.9,27586.5,27121.95,27427.85,27798.27061,10126400000000,40.16031107,-492.7678389,-542.4660286,427077000000
29-08-2019,27694.95,27719.05,27239.95,27305.2,27855.25839,9699330000000,38.50887372,-500.917872,-554.890576,377438000000
28-08-2019,28080.25,28095.55,27634.65,27804.3,27939.88276,10076800000000,42.99217042,-491.5461998,-568.383752,384112000000
27-08-2019,28106.3,28277.7,27960.8,28126.15,27960.74164,10460900000000,46.21391164,-523.2522298,-587.5931401,386839000000
26-08-2019,27663.95,27995.25,26859.35,27951.35,27935.29421,10074000000000,44.10136798,-588.8798938,-603.6783677,519219000000
23-08-2019,26835.35,27207.3,26560.6,26958.65,27932.82408,9554820000000,29.49901558,-646.2813137,-607.3779862,485539000000
22-08-2019,27690.05,27690.05,26975.55,27034.2,28082.69702,10040400000000,30.05383715,-609.0710343,-597.6521543,465071000000
21-08-2019,28021,28098.9,27666.2,27719.05,28244.00425,10505400000000,35.7067524,-560.4103353,-594.7974343,358841000000
20-08-2019,28163.55,28215.4,27839.65,27982.45,28324.76645,10864300000000,38.27808576,-559.8803474,-603.394209,288236000000
19-08-2019,28331.25,28468.9,28146.5,28186.1,28377.43051,11152500000000,40.36496121,-577.879085,-614.2726744,241811000000
16-08-2019,27920.3,28251.05,27720.95,28217,28406.86598,11394300000000,40.67741736,-613.1817779,-623.3710718,274020000000
14-08-2019,27885.5,28107.05,27726.65,28019.2,28436.07613,11120300000000,37.81624099,-652.4680256,-625.9183953,290413000000
